Nombre,Equipo,Precio_Comunio,Precio_Num,Precio_Normalizado,Foto
Xhaka,Switzerland,"8,31 M",8310000.000000001,24,https://st.clubcomunio.com/p/111455-2.jpg
Cubarsí,Spain,"8,05 M",8050000.000000001,23,https://st.clubcomunio.com/p/962110-0.jpg
Guimarães,Brazil,"8,03 M",8029999.999999999,23,https://st.clubcomunio.com/p/520624-0.jpg
Casemiro,Brazil,"7,96 M",7960000.0,23,https://st.clubcomunio.com/p/16306-4.jpg
Saliba,France,"7,84 M",7840000.0,23,https://st.clubcomunio.com/p/495666-1.jpg
Maignan,France,"7,74 M",7740000.0,22,https://st.clubcomunio.com/p/182906-0.jpg
Rúben Dias,Portugal,"7,74 M",7740000.0,22,https://st.clubcomunio.com/p/258004-1.jpg
Gravenberech,Netherlands,"7,73 M",7730000.0,22,https://st.clubcomunio.com/p/478573-0.jpg
Schlotterbeck,Germany,"7,71 M",7710000.0,22,https://st.clubcomunio.com/p/388198-0.jpg
Marcos Llorente,Spain,"7,63 M",7630000.0,22,https://st.clubcomunio.com/p/282411-3.jpg
James Rodríguez,Colombia,"7,56 M",7560000.0,22,https://st.clubcomunio.com/p/88103.jpg
Luis Suárez,Colombia,"7,34 M",7340000.0,22,https://st.clubcomunio.com/p/424784-3.jpg
Woltemade,Germany,"7,28 M",7280000.0,22,https://st.clubcomunio.com/p/455661-0.jpg
Joao Cancelo,Portugal,"7,28 M",7280000.0,22,https://st.clubcomunio.com/p/182712-3.jpg
Martínez,Argentina,"7,27 M",7270000.0,22,https://st.clubcomunio.com/p/111873-2.jpg
Sørloth,Norway,"7,25 M",7250000.0,21,https://st.clubcomunio.com/p/238407-0.jpg
A. Gordon,England,"7,21 M",7210000.0,21,https://st.clubcomunio.com/p/503733-0.jpg
Koundé,France,"7,13 M",7130000.0,21,https://st.clubcomunio.com/p/411975-4.jpg
Gabriel Magalhaes,Brazil,"7,12 M",7120000.0,21,https://st.clubcomunio.com/p/435338-2.jpg
Lukaku,Belgium,"7,11 M",7110000.0,21,https://st.clubcomunio.com/p/96341-2.jpg
Kramaric,Croatia,"7,06 M",7060000.0,21,https://st.clubcomunio.com/p/46580-2.jpg
Neuer,Germany,"7,06 M",7060000.0,21,https://st.clubcomunio.com/p/17259-2.jpg
Marmoush,Egypt,"6,98 M",6980000.0,21,https://st.clubcomunio.com/p/445939-0.jpg
Marquinhos,Brazil,"6,96 M",6960000.0,21,https://st.clubcomunio.com/p/181767-1.jpg
Theo Hernandez,France,"6,90 M",6900000.0,21,https://st.clubcomunio.com/p/339808-3.jpg
Rabiot,France,"6,90 M",6900000.0,21,https://st.clubcomunio.com/p/182913-3.jpg
Nico Paz,Argentina,"6,85 M",6850000.0,21,https://st.clubcomunio.com/p/948294-0.jpg
Laporte,Spain,"6,85 M",6850000.0,21,https://st.clubcomunio.com/p/176553-3.jpg
